name,full-name,color
womens-center,Womens Center,Teal
center-for-family-justice,The Center For Family Justice,Light Blue
dvcc-norwalk,"Domestic Violence Crisis Center- Norwalk, CT",Dark Blue
domestic-abuse-services,Domestic Abuse Services-Greenwich YWCA,Navy
umbrella-ansonia,"The Umbrella Center For Domestic Violence Services-Ansonia, CT",Pale Yellow
dvcc-stamford,"Domestic Violence Crisis Center-Stamford, CT",Yellow
safe-futures,Safe Futures,Moss
united-services-willimantic,"Domestic Violence Program/United Services Inc.- Willimantic, CT",Light Green
united-services-dayville,"Domestic Violence Program/United Services Inc.-Dayville, CT",Dark Orange
interval-house,Interval House,Light Orange
the-network,The Network,Light Grey
prudence-crandall,Prudence Crandall Center,Lavender
sba-project,Susan B. Anthony Project,Dark Pink
new-horizons,New Horizons,Purple
safe-haven,Safe Haven of Greater Waterbury,Burgundy
womens-support-services,Womens Support Services,Rose
umbrella-north-haven,"The Umbrella Center For Domestic Violence Services-North Haven, CT",Olive
chrysalis,Chrysalis Domestic Violence Services,Cream